data,mandante,estado_mandante,visitante,estado_visitante,gols_mandante,gols_visitante,temporada,rodada,resultado_mandante
2018-04-15 11:00:00,America-MG,MG,Sport-PE,PE,3,0,2018,1,V
2018-04-15 16:00:00,Vasco da Gama-RJ,RJ,Atletico-MG,MG,2,1,2018,1,V
2018-04-15 16:00:00,Corinthians-SP,SP,Fluminense-RJ,RJ,2,1,2018,1,V
2018-04-15 16:00:00,Internacional-RS,RS,Bahia-BA,BA,2,0,2018,1,V
2018-04-15 19:00:00,Atletico-PR,PR,Chapecoense-SC,SC,5,1,2018,1,V
2018-04-16 20:00:00,Botafogo-RJ,RJ,Palmeiras-SP,SP,1,1,2018,1,E
2018-04-16 20:00:00,Sao Paulo-SP,SP,Parana-PR,PR,1,0,2018,1,V
2018-04-21 16:00:00,Bahia-BA,BA,Santos-SP,SP,1,0,2018,2,V
2018-04-21 19:00:00,Flamengo-RJ,RJ,America-MG,MG,2,0,2018,2,V
2018-04-22 11:00:00,Parana-PR,PR,Corinthians-SP,SP,0,4,2018,2,D
2018-04-22 16:00:00,Chapecoense-SC,SC,Vasco da Gama-RJ,RJ,1,1,2018,2,E
2018-04-22 16:00:00,Fluminense-RJ,RJ,Cruzeiro-MG,MG,1,0,2018,2,V
2018-04-22 16:00:00,Ceara-CE,CE,Sao Paulo-SP,SP,0,0,2018,2,E
2018-04-22 16:00:00,Palmeiras-SP,SP,Internacional-RS,RS,1,0,2018,2,V
2018-04-22 16:00:00,Atletico-MG,MG,Vitoria-BA,BA,2,1,2018,2,V
2018-04-22 19:00:00,Gremio-RS,RS,Atletico-PR,PR,0,0,2018,2,E
2018-04-23 20:00:00,Sport-PE,PE,Botafogo-RJ,RJ,1,1,2018,2,E
2018-04-28 16:00:00,Botafogo-RJ,RJ,Gremio-RS,RS,2,1,2018,3,V
2018-04-29 16:00:00,Palmeiras-SP,SP,Chapecoense-SC,SC,0,0,2018,3,E
2018-04-29 16:00:00,Ceara-CE,CE,Flamengo-RJ,RJ,0,3,2018,3,D
2018-04-29 16:00:00,Bahia-BA,BA,Atletico-PR,PR,0,0,2018,3,E
2018-04-29 16:00:00,Fluminense-RJ,RJ,Sao Paulo-SP,SP,1,1,2018,3,E
2018-04-29 16:00:00,Parana-PR,PR,Sport-PE,PE,1,2,2018,3,D
2018-04-29 16:00:00,Atletico-MG,MG,Corinthians-SP,SP,1,0,2018,3,V
2018-04-29 19:00:00,Internacional-RS,RS,Cruzeiro-MG,MG,0,0,2018,3,E
